--------- beginning of main
07-12 19:20:14.951  4838  4838 I zygote64: Late-enabling -Xcheck:jni
07-12 19:20:15.297  4838  4838 I TransferService: Starting Transfer Service to listen for network connectivity changes.
07-12 19:20:15.303  4838  4838 W LogFactory: Truncating log tag length as it exceed 23, the limit imposed by Android on certain API Levels
07-12 19:20:15.475  4838  4838 I TransferService: Registering the network receiver
07-12 19:20:15.485  4838  4838 I TransferService: Moving the service out of the Foreground state.
07-12 19:20:15.490  4838  4838 I TransferService: De-registering the network receiver.
07-12 19:20:22.348  4838  4838 I zygote64: Rejecting re-init on previously-failed class java.lang.Class<androidx.core.view.ViewCompat$2>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
07-12 19:20:22.348  4838  4838 I zygote64:   at void androidx.core.view.ViewCompat.setBackground(android.view.View, android.graphics.drawable.Drawable) (ViewCompat.java:2559)
07-12 19:20:22.348  4838  4838 I zygote64:   at void androidx.appcompat.widget.ActionBarContainer.<init>(android.content.Context, android.util.AttributeSet) (ActionBarContainer.java:63)
07-12 19:20:22.348  4838  4838 I zygote64:   at java.lang.Object java.lang.reflect.Constructor.newInstance0(java.lang.Object[]) (Constructor.java:-2)
07-12 19:20:22.348  4838  4838 I zygote64:   at java.lang.Object java.lang.reflect.Constructor.newInstance(java.lang.Object[]) (Constructor.java:334)
07-12 19:20:22.348  4838  4838 I zygote64:   at android.view.View android.view.LayoutInflater.createView(java.lang.String, java.lang.String, android.util.AttributeSet) (LayoutInflater.java:647)
07-12 19:20:22.348  4838  4838 I zygote64:   at android.view.View android.view.LayoutInflater.createViewFromTag(android.view.View, java.lang.String, android.content.Context, android.util.AttributeSet, boolean) (LayoutInflater.java:790)
07-12 19:20:22.348  4838  4838 I zygote64:   at android.view.View android.view.LayoutInflater.createViewFromTag(android.view.View, java.lang.String, android.content.Context, android.util.AttributeSet) (LayoutInflater.java:730)
07-12 19:20:22.348  4838  4838 I zygote64:   at void android.view.LayoutInflater.rInflate(org.xmlpull.v1.XmlPullParser, android.view.View, android.content.Context, android.util.AttributeSet, boolean) (LayoutInflater.java:863)
07-12 19:20:22.348  4838  4838 I zygote64:   at void android.view.LayoutInflater.rInflateChildren(org.xmlpull.v1.XmlPullParser, android.view.View, android.util.AttributeSet, boolean) (LayoutInflater.java:824)
07-12 19:20:22.348  4838  4838 I zygote64:   at android.view.View android.view.LayoutInflater.inflate(org.xmlpull.v1.XmlPullParser, android.view.ViewGroup, boolean) (LayoutInflater.java:515)
07-12 19:20:22.348  4838  4838 I zygote64:   at android.view.View android.view.LayoutInflater.inflate(int, android.view.ViewGroup, boolean) (LayoutInflater.java:423)
07-12 19:20:22.348  4838  4838 I zygote64:   at android.view.View android.view.LayoutInflater.inflate(int, android.view.ViewGroup) (LayoutInflater.java:374)
